Month,DayofMonth,DayOfWeek,CarrierName,ActualDeptTime,SchedDeptTime,DeptDelay,ActualArrvTime,SchedArrvTime,ArrvDelay,ActualElapsedTime,SchedElapsedTime,AirTime,TaxiIn,TaxiOut
3,12,W,United Air Lines Inc.,1204,1207,-3,1303,1313,-10,119,126,102,6,11
3,12,W,Northwest Airlines Inc.,1314,1318,-4,1424,1423,1,130,125,103,10,17
3,13,TH,Northwest Airlines Inc.,1429,1436,-7,1522,1538,-16,113,122,94,8,11
3,13,TH,United Air Lines Inc.,1902,1902,0,2011,2015,-4,129,133,105,11,13
3,13,TH,United Air Lines Inc.,1201,1207,-6,1300,1313,-13,119,126,99,8,12
3,14,F,Northwest Airlines Inc.,908,910,-2,1022,1017,5,134,127,99,9,26
3,14,F,Northwest Airlines Inc.,2134,2145,-11,2232,2248,-16,118,123,93,6,19
3,16,SU,United Air Lines Inc.,1216,1207,9,1331,1313,18,135,126,118,6,11
3,16,SU,Northwest Airlines Inc.,1502,1436,26,1617,1538,39,135,122,114,7,14
3,16,SU,Northwest Airlines Inc.,1155,1200,-5,1341,1304,37,166,124,137,8,21
3,17,M,United Air Lines Inc.,819,755,24,952,914,38,153,139,119,6,28
3,17,M,Northwest Airlines Inc.,2156,2145,11,2324,2248,36,148,123,106,6,36
3,17,M,United Air Lines Inc.,616,620,-4,757,728,29,161,128,135,7,19
3,17,M,Northwest Airlines Inc.,917,910,7,1056,1017,39,159,127,125,9,25
3,18,T,Northwest Airlines Inc.,2227,2145,42,2320,2248,32,113,123,96,6,11
3,18,T,Northwest Airlines Inc.,1456,1436,20,1604,1538,26,128,122,107,9,12
3,18,T,United Air Lines Inc.,1229,1207,22,1337,1313,24,128,126,115,5,8
3,18,T,Northwest Airlines Inc.,1217,1200,17,1329,1304,25,132,124,110,6,16
3,18,T,Northwest Airlines Inc.,925,910,15,1051,1017,34,146,127,115,8,23
3,18,T,United Air Lines Inc.,753,755,-2,935,914,21,162,139,111,5,46
3,18,T,Northwest Airlines Inc.,700,700,0,907,808,59,187,128,122,9,56
3,19,W,United Air Lines Inc.,620,620,0,720,728,-8,120,128,103,7,10
3,19,W,United Air Lines Inc.,757,755,2,901,914,-13,124,139,100,6,18
3,20,TH,Northwest Airlines Inc.,1008,910,58,1120,1017,63,132,127,105,7,20
3,20,TH,United Air Lines Inc.,1413,1407,6,1540,1513,27,147,126,116,13,18
3,20,TH,Northwest Airlines Inc.,1312,1318,-6,1420,1423,-3,128,125,104,10,14
3,20,TH,Northwest Airlines Inc.,1201,1200,1,1308,1304,4,127,124,104,10,13
3,20,TH,United Air Lines Inc.,750,755,-5,858,914,-16,128,139,110,8,10
3,21,F,Northwest Airlines Inc.,1319,1318,1,1442,1423,19,143,125,101,9,33
3,22,SA,Northwest Airlines Inc.,935,910,25,1105,1017,48,150,127,100,8,42
3,22,SA,United Air Lines Inc.,1156,1158,-2,1303,1304,-1,127,126,103,8,16
3,22,SA,Northwest Airlines Inc.,2142,2145,-3,2257,2248,9,135,123,100,7,28
3,22,SA,United Air Lines Inc.,753,755,-2,922,914,8,149,139,110,6,33
3,22,SA,United Air Lines Inc.,1524,1525,-1,1626,1629,-3,122,124,103,7,12
3,22,SA,United Air Lines Inc.,1903,1902,1,2023,2015,8,140,133,114,10,16
3,23,SU,United Air Lines Inc.,1359,1407,-8,1452,1513,-21,113,126,97,6,10
3,23,SU,United Air Lines Inc.,1924,1902,22,2021,2015,6,117,133,96,6,15
3,24,M,Northwest Airlines Inc.,913,910,3,1017,1017,0,124,127,100,8,16
3,24,M,United Air Lines Inc.,748,755,-7,850,914,-24,122,139,104,5,13
3,24,M,United Air Lines Inc.,1206,1207,-1,1312,1313,-1,126,126,105,9,12
3,24,M,United Air Lines Inc.,619,620,-1,733,728,5,134,128,102,11,21
3,25,T,Northwest Airlines Inc.,1509,1436,33,1612,1538,34,123,122,104,9,10
3,25,T,Northwest Airlines Inc.,906,910,-4,1039,1017,22,153,127,117,13,23
